ID,MONTHS_BALANCE,STATUS
5008851,-1,0
5008851,-2,0
5008851,-3,0
5008851,-4,0
5008851,-5,0
5008855,0,C
5008855,-1,C
5008855,-2,C
5008855,-3,C
5008855,-4,C
5008855,-5,C
5008857,0,X
5008857,-1,X
5008857,-2,X
5008857,-3,X
5008857,-4,X
5008857,-5,X
5008858,0,C
5008858,-1,0
5008858,-2,0
5008858,-3,0
5008858,-4,0
5008858,-5,0
5008868,0,0
5008868,-1,0
5008868,-2,0
5008868,-3,0
5008868,-4,0
5008868,-5,0
5008872,0,0
5008872,-1,0
5008872,-2,0
5008872,-3,0
5008872,-4,0
5008872,-5,0
5008873,0,C
5008873,-1,C
5008873,-2,C
5008873,-3,C
5008873,-4,C
5008873,-5,C
5008874,0,C
5008874,-1,C
5008874,-2,C
5008874,-3,C
5008874,-4,C
5008874,-5,C
5008875,0,C
5008875,-1,C
5008875,-2,C
5008875,-3,C
5008875,-4,C
5008875,-5,C
5008876,0,C
5008876,-1,C
5008876,-2,C
5008876,-3,C
5008876,-4,C
5008876,-5,C
5008877,0,C
5008877,-1,C
5008877,-2,0
5008877,-3,0
5008877,-4,0
5008877,-5,0
5008879,0,C
5008879,-1,C
5008879,-2,C
5008879,-3,C
5008879,-4,C
5008879,-5,C
5008880,0,C
5008880,-1,C
5008880,-2,C
5008880,-3,C
5008880,-4,C
5008880,-5,0
5008881,0,C
5008881,-1,C
5008881,-2,C
5008881,-3,C
5008881,-4,C
5008881,-5,C
5008884,0,C
5008884,-1,C
5008884,-2,C
5008884,-3,C
5008884,-4,C
5008884,-5,C
5008891,0,C
5008891,-1,C
5008891,-2,C
5008891,-3,C
5008891,-4,C
5008891,-5,C
5008893,0,C
5008893,-1,C
5008893,-2,C
5008893,-3,C
5008893,-4,C
5008893,-5,C
5008894,0,C
5008894,-1,C
5008894,-2,C
5008894,-3,C
5008894,-4,C
5008894,-5,C
5008895,0,C
5008895,-1,C
5008895,-2,C
5008895,-3,C
5008895,-4,C
5008895,-5,C
5008912,0,C
5008912,-1,C
5008912,-2,C
5008912,-3,C
5008912,-4,C
5008912,-5,C
5008914,0,C
5008914,-1,C
5008914,-2,C
5008914,-3,C
5008914,-4,C
5008914,-5,C
5008916,0,C
5008916,-1,C
5008916,-2,C
5008916,-3,C
5008916,-4,C
5008916,-5,C
5008918,0,C
5008918,-1,C
5008918,-2,C
5008918,-3,C
5008918,-4,C
5008918,-5,0
5008919,0,C
5008919,-1,C
5008919,-2,C
5008919,-3,C
5008919,-4,C
5008919,-5,C
5008920,0,C
5008920,-1,C
5008920,-2,C
5008920,-3,C
5008920,-4,0
5008920,-5,0
5008921,0,C
5008921,-1,C
5008921,-2,C
5008921,-3,C
5008921,-4,C
5008921,-5,C
5008922,0,C
5008922,-1,C
5008922,-2,0
5008922,-3,0
5008922,-4,1
5008922,-5,0
5008923,0,C
5008923,-1,C
5008923,-2,C
5008923,-3,C
5008923,-4,C
5008923,-5,C
5008924,0,C
5008924,-1,C
5008924,-2,C
5008924,-3,C
5008924,-4,C
5008924,-5,C
5008925,0,C
5008925,-1,C
5008925,-2,C
5008925,-3,C
5008925,-4,C
5008925,-5,C
5008926,0,0
5008926,-1,0
5008926,-2,1
5008926,-3,0
5008926,-4,0
5008926,-5,0
5008927,0,C
5008927,-1,C
5008927,-2,C
5008927,-3,C
5008927,-4,C
5008927,-5,C
5008928,0,1
5008928,-1,0
5008928,-2,0
5008928,-3,0
5008928,-4,0
5008928,-5,0
5008929,0,C
5008929,-1,C
5008929,-2,C
5008929,-3,C
5008929,-4,C
5008929,-5,C
5008930,0,0
5008930,-1,0
5008930,-2,0
5008930,-3,0
5008930,-4,0
5008930,-5,0
5008931,0,C
5008931,-1,C
5008931,-2,C
5008931,-3,C
5008931,-4,C
5008931,-5,0
5008932,0,0
5008932,-1,0
5008932,-2,0
5008932,-3,0
5008932,-4,0
5008932,-5,X
5008933,0,C
5008933,-1,C
5008933,-2,C
5008933,-3,C
5008933,-4,C
5008933,-5,0
5008941,0,C
5008941,-1,C
5008941,-2,C
5008941,-3,C
5008941,-4,C
5008941,-5,C
5008943,0,X
5008943,-1,X
5008943,-2,X
5008943,-3,X
5008943,-4,X
5008943,-5,X
5008947,0,X
5008947,-1,X
5008947,-2,X
5008947,-3,X
5008947,-4,X
5008947,-5,X
5008950,0,X
5008950,-1,X
5008950,-2,X
5008950,-3,X
5008950,-4,X
5008950,-5,X
5008951,0,C
5008951,-1,C
5008951,-2,C
5008951,-3,C
5008951,-4,C
5008951,-5,C
5008953,0,X
5008953,-1,X
5008953,-2,X
5008953,-3,X
5008953,-4,X
5008953,-5,X
5008954,0,0
5008954,-1,0
5008954,-2,0
5008954,-3,0
5008954,-4,0
5008954,-5,0
5008956,0,C
5008956,-1,C
5008956,-2,C
5008956,-3,C
5008956,-4,C
5008956,-5,C
5008959,0,C
5008959,-1,C
5008959,-2,C
5008959,-3,C
5008959,-4,0
5008959,-5,0
5008960,0,C
5008960,-1,C
5008960,-2,C
5008960,-3,C
5008960,-4,C
5008960,-5,C
5008962,0,C
5008962,-1,C
5008962,-2,C
5008962,-3,C
5008962,-4,C
5008962,-5,C
5008963,0,C
5008963,-1,C
5008963,-2,C
5008963,-3,C
5008963,-4,C
5008963,-5,C
5008966,0,0
5008966,-1,0
5008966,-2,0
5008966,-3,0
5008966,-4,0
5008966,-5,0
5008967,0,0
5008967,-1,0
5008967,-2,0
5008967,-3,0
5008967,-4,0
5008967,-5,0
5008977,0,0
5008977,-1,0
5008977,-2,0
5008977,-3,0
5008977,-4,0
5008977,-5,0
5008979,0,C
5008979,-1,C
5008979,-2,C
5008979,-3,C
5008979,-4,C
5008979,-5,C
5008981,0,X
5008981,-1,X
5008981,-2,X
5008981,-3,X
5008981,-4,X
5008981,-5,X
5008984,0,C
5008984,-1,C
5008984,-2,C
5008984,-3,X
5008984,-4,X
5008984,-5,X
5008986,0,X
5008986,-1,X
5008986,-2,X
5008986,-3,X
5008986,-4,X
5008986,-5,X
5008987,0,C
5008987,-1,C
5008987,-2,C
5008987,-3,C
5008987,-4,C
5008987,-5,C
5008988,0,X
5008988,-1,X
5008988,-2,X
5008988,-3,X
5008988,-4,X
5008988,-5,X
5008992,0,C
5008992,-1,C
5008992,-2,C
5008992,-3,C
5008992,-4,C
5008992,-5,0
5008993,0,0
5008993,-1,0
5008993,-2,0
5008993,-3,0
5008993,-4,0
5008993,-5,0
5008994,0,0
5008994,-1,0
5008994,-2,0
5008994,-3,0
5008994,-4,0
5008994,-5,0
5009000,0,C
5009000,-1,C
5009000,-2,C
5009000,-3,C
5009000,-4,C
5009000,-5,C
5009012,0,0
5009012,-1,0
5009012,-2,0
5009012,-3,X
5009012,-4,X
5009012,-5,X
5009016,0,C
5009016,-1,C
5009016,-2,C
5009016,-3,C
5009016,-4,C
5009016,-5,C
5009019,0,0
5009019,-1,0
5009019,-2,0
5009019,-3,0
5009019,-4,0
5009019,-5,0
5009023,0,C
5009023,-1,C
5009023,-2,C
5009023,-3,C
5009023,-4,C
5009023,-5,C
5009024,0,C
5009024,-1,C
5009024,-2,C
5009024,-3,0
5009024,-4,0
5009024,-5,0
5009025,0,C
5009025,-1,C
5009025,-2,C
5009025,-3,C
5009025,-4,C
5009025,-5,C
5009027,0,0
5009027,-1,0
5009027,-2,X
5009027,-3,0
5009027,-4,0
5009027,-5,0
5009029,0,C
5009029,-1,C
5009029,-2,C
5009029,-3,C
5009029,-4,C
5009029,-5,C
5009031,0,C
5009031,-1,C
5009031,-2,X
5009031,-3,X
5009031,-4,X
5009031,-5,X
5009032,0,C
5009032,-1,C
5009032,-2,X
5009032,-3,X
5009032,-4,X
5009032,-5,X
5009033,0,X
5009033,-1,X
5009033,-2,X
5009033,-3,X
5009033,-4,X
5009033,-5,X
5009035,0,X
5009035,-1,X
5009035,-2,0
5009035,-3,0
5009035,-4,0
5009035,-5,0
5009036,0,C
5009036,-1,C
5009036,-2,C
5009036,-3,C
5009036,-4,C
5009036,-5,C
5009037,0,X
5009037,-1,X
5009037,-2,X
5009037,-3,X
5009037,-4,X
5009037,-5,X
5009038,0,X
5009038,-1,X
5009038,-2,X
5009038,-3,X
5009038,-4,X
5009038,-5,X
5009039,0,C
5009039,-1,C
5009039,-2,C
5009039,-3,C
5009039,-4,C
5009039,-5,C
5009042,0,X
5009042,-1,X
5009042,-2,X
5009042,-3,X
5009042,-4,X
5009042,-5,X
5009046,0,0
5009046,-1,X
5009046,-2,0
5009046,-3,X
5009046,-4,0
5009046,-5,0
5009047,0,0
5009047,-1,0
5009047,-2,0
5009047,-3,0
5009047,-4,0
5009047,-5,0
5009052,0,C
5009052,-1,C
5009052,-2,C
5009052,-3,C
5009052,-4,C
5009052,-5,C
5009057,0,0
5009057,-1,0
5009057,-2,0
5009057,-3,0
5009057,-4,0
5009057,-5,0
5009063,0,C
5009063,-1,C
5009063,-2,C
5009063,-3,C
5009063,-4,C
5009063,-5,C
5009065,0,X
5009065,-1,X
5009065,-2,X
5009065,-3,X
5009065,-4,X
5009065,-5,X
5009066,0,0
5009066,-1,0
5009066,-2,0
5009066,-3,0
5009066,-4,0
5009066,-5,0
5009068,0,C
5009068,-1,0
5009068,-2,0
5009068,-3,0
5009068,-4,X
5009068,-5,X
5009069,0,C
5009069,-1,C
5009069,-2,C
5009069,-3,C
5009069,-4,C
5009069,-5,C
5009071,0,C
5009071,-1,C
5009071,-2,C
5009071,-3,C
5009071,-4,C
5009071,-5,C
5009074,0,0
5009074,-1,0
5009074,-2,0
5009074,-3,0
5009074,-4,0
5009074,-5,0
5009078,0,C
5009078,-1,C
5009078,-2,C
5009078,-3,C
5009078,-4,C
5009078,-5,C
5009079,0,C
5009079,-1,C
5009079,-2,C
5009079,-3,C
5009079,-4,C
5009079,-5,C
5009080,0,C
5009080,-1,C
5009080,-2,C
5009080,-3,C
5009080,-4,0
5009080,-5,0
5009089,0,0
5009089,-1,0
5009089,-2,0
5009089,-3,0
5009089,-4,0
5009089,-5,0
5009090,0,0
5009090,-1,0
5009090,-2,0
5009090,-3,0
5009090,-4,0
5009090,-5,0
5009096,0,C
5009096,-1,C
5009096,-2,C
5009096,-3,C
5009096,-4,C
5009096,-5,C
5009098,0,C
5009098,-1,C
5009098,-2,C
5009098,-3,C
5009098,-4,C
5009098,-5,C
5009100,0,X
5009100,-1,X
5009100,-2,X
5009100,-3,X
5009100,-4,0
5009100,-5,0
5009103,0,C
5009103,-1,C
5009103,-2,C
5009103,-3,C
5009103,-4,C
5009103,-5,C
5009104,0,X
5009104,-1,X
5009104,-2,X
5009104,-3,X
5009104,-4,X
5009104,-5,X
5009105,0,X
5009105,-1,X
5009105,-2,X
5009105,-3,X
5009105,-4,X
5009105,-5,X
5009106,0,X
5009106,-1,X
5009106,-2,X
5009106,-3,X
5009106,-4,X
5009106,-5,X
5009108,0,0
5009108,-1,0
5009108,-2,0
5009108,-3,0
5009108,-4,0
5009108,-5,0
5009109,0,C
5009109,-1,C
5009109,-2,C
5009109,-3,C
5009109,-4,C
5009109,-5,C
5009117,0,C
5009117,-1,C
5009117,-2,C
5009117,-3,C
5009117,-4,C
5009117,-5,C
5009123,0,C
5009123,-1,C
5009123,-2,C
5009123,-3,C
5009123,-4,C
5009123,-5,C
5009125,0,C
5009125,-1,C
5009125,-2,C
5009125,-3,C
5009125,-4,C
5009125,-5,C
5009127,0,C
5009127,-1,C
5009127,-2,C
5009127,-3,C
5009127,-4,C
5009127,-5,C
5009129,0,C
5009129,-1,C
5009129,-2,C
5009129,-3,C
5009129,-4,C
5009129,-5,C
5009130,0,C
5009130,-1,C
5009130,-2,C
5009130,-3,C
5009130,-4,C
5009130,-5,C
5009133,0,C
5009133,-1,C
5009133,-2,C
5009133,-3,C
5009133,-4,C
5009133,-5,C
5009134,0,C
5009134,-1,C
5009134,-2,C
5009134,-3,C
5009134,-4,C
5009134,-5,C
5009136,0,C
5009136,-1,C
5009136,-2,C
5009136,-3,C
5009136,-4,C
5009136,-5,C
5009139,0,X
5009139,-1,0
5009139,-2,0
5009139,-3,0
5009139,-4,0
5009139,-5,0
5009141,0,C
5009141,-1,C
5009141,-2,C
5009141,-3,C
5009141,-4,C
5009141,-5,C
5009142,0,C
5009142,-1,C
5009142,-2,C
5009142,-3,C
5009142,-4,0
5009142,-5,0
5009143,0,C
5009143,-1,C
5009143,-2,0
5009143,-3,0
5009143,-4,1
5009143,-5,0
5009147,0,C
5009147,-1,C
5009147,-2,C
5009147,-3,C
5009147,-4,C
5009147,-5,C
5009149,0,C
5009149,-1,C
5009149,-2,C
5009149,-3,0
5009149,-4,0
5009149,-5,0
5009150,0,C
5009150,-1,C
5009150,-2,C
5009150,-3,C
5009150,-4,C
5009150,-5,C
5009151,0,C
5009151,-1,C
5009151,-2,C
5009151,-3,C
5009151,-4,C
5009151,-5,C
5009152,0,C
5009152,-1,C
5009152,-2,C
5009152,-3,C
5009152,-4,C
5009152,-5,C
5009154,0,C
5009154,-1,C
5009154,-2,C
5009154,-3,C
5009154,-4,C
5009154,-5,C
5009155,0,C
5009155,-1,C
5009155,-2,C
5009155,-3,C
5009155,-4,C
5009155,-5,C
5009156,0,C
5009156,-1,C
5009156,-2,C
5009156,-3,C
5009156,-4,C
5009156,-5,C
5009158,0,C
5009158,-1,C
5009158,-2,C
5009158,-3,C
5009158,-4,C
5009158,-5,C
5009159,0,C
5009159,-1,C
5009159,-2,C
5009159,-3,C
5009159,-4,C
5009159,-5,C
5009160,0,C
5009160,-1,C
5009160,-2,C
5009160,-3,C
5009160,-4,C
5009160,-5,C
5009161,0,C
5009161,-1,C
5009161,-2,C
5009161,-3,C
5009161,-4,C
5009161,-5,C
5009163,0,0
5009163,-1,0
5009163,-2,0
5009163,-3,0
5009163,-4,0
5009163,-5,0
5009166,0,0
5009166,-1,0
5009166,-2,0
5009166,-3,0
5009166,-4,0
5009166,-5,0
5009177,0,C
5009177,-1,C
5009177,-2,C
5009177,-3,C
5009177,-4,C
5009177,-5,C
5009178,0,0
5009178,-1,0
5009178,-2,0
5009178,-3,0
5009178,-4,0
5009178,-5,0
5009180,0,C
5009180,-1,0
5009180,-2,0
5009180,-3,0
5009180,-4,0
5009180,-5,0
5009181,0,0
5009181,-1,0
5009181,-2,0
5009181,-3,0
5009181,-4,0
5009181,-5,0
5009182,0,C
5009182,-1,C
5009182,-2,C
5009182,-3,C
5009182,-4,C
5009182,-5,C
5009183,0,C
5009183,-1,C
5009183,-2,C
5009183,-3,C
5009183,-4,C
5009183,-5,C
5009187,0,0
5009187,-1,0
5009187,-2,0
5009187,-3,0
5009187,-4,0
5009187,-5,0
5009188,0,C
5009188,-1,C
5009188,-2,C
5009188,-3,C
5009188,-4,C
5009188,-5,C
5009189,0,C
5009189,-1,C
5009189,-2,C
5009189,-3,C
5009189,-4,C
5009189,-5,C
5009190,0,C
5009190,-1,C
5009190,-2,C
5009190,-3,C
5009190,-4,C
5009190,-5,C
5009192,0,C
5009192,-1,C
5009192,-2,C
5009192,-3,C
5009192,-4,C
5009192,-5,C
5009202,0,0
5009202,-1,0
5009202,-2,0
5009202,-3,0
5009202,-4,0
5009202,-5,0
5009205,0,X
5009205,-1,X
5009205,-2,X
5009205,-3,X
5009205,-4,X
5009205,-5,X
5009206,0,C
5009206,-1,C
5009206,-2,C
5009206,-3,C
5009206,-4,C
5009206,-5,0
5009208,0,C
5009208,-1,C
5009208,-2,C
5009208,-3,C
5009208,-4,C
5009208,-5,C
5009209,0,0
5009209,-1,0
5009209,-2,0
5009209,-3,0
5009209,-4,0
5009209,-5,0
5009213,0,X
5009213,-1,X
5009213,-2,X
5009213,-3,X
5009213,-4,X
5009213,-5,X
5009215,0,C
5009215,-1,C
5009215,-2,C
5009215,-3,C
5009215,-4,C
5009215,-5,C
5009216,0,C
5009216,-1,0
5009216,-2,0
5009216,-3,0
5009216,-4,0
5009216,-5,0
5009217,0,X
5009217,-1,0
5009217,-2,0
5009217,-3,0
5009217,-4,0
5009217,-5,0
5009220,0,C
5009220,-1,C
5009220,-2,C
5009220,-3,C
5009220,-4,C
5009220,-5,C
5009224,0,C
5009224,-1,C
5009224,-2,C
5009224,-3,C
5009224,-4,C
5009224,-5,C
5009226,0,C
5009226,-1,C
5009226,-2,C
5009226,-3,C
5009226,-4,0
5009226,-5,0
5009227,0,0
5009227,-1,0
5009227,-2,0
5009227,-3,0
5009227,-4,0
5009227,-5,0
5009232,0,C
5009232,-1,C
5009232,-2,C
5009232,-3,C
5009232,-4,C
5009232,-5,C
5009234,0,X
5009234,-1,X
5009234,-2,X
5009234,-3,X
5009234,-4,X
5009234,-5,X
5009236,0,0
5009236,-1,0
5009236,-2,0
5009236,-3,0
5009236,-4,0
5009236,-5,0
5009239,0,C
5009239,-1,C
5009239,-2,C
5009239,-3,C
5009239,-4,C
5009239,-5,C
5009241,0,C
5009241,-1,C
5009241,-2,C
5009241,-3,C
5009241,-4,C
5009241,-5,0
5009242,0,C
5009242,-1,C
5009242,-2,C
5009242,-3,C
5009242,-4,C
5009242,-5,C
5009243,0,C
5009243,-1,0
5009243,-2,0
5009243,-3,0
5009243,-4,0
5009243,-5,0
5009244,0,C
5009244,-1,C
5009244,-2,C
5009244,-3,C
5009244,-4,C
5009244,-5,C
5009246,0,X
5009246,-1,X
5009246,-2,X
5009246,-3,X
5009246,-4,X
5009246,-5,X
5009248,0,C
5009248,-1,C
5009248,-2,C
5009248,-3,C
5009248,-4,C
5009248,-5,C
5009249,0,C
5009249,-1,C
5009249,-2,C
5009249,-3,C
5009249,-4,C
5009249,-5,C
5009250,0,C
5009250,-1,C
5009250,-2,C
5009250,-3,C
5009250,-4,C
5009250,-5,C
5009251,0,C
5009251,-1,C
5009251,-2,C
5009251,-3,C
5009251,-4,C
5009251,-5,C
5009252,0,C
5009252,-1,C
5009252,-2,C
5009252,-3,C
5009252,-4,C
5009252,-5,C
5009253,0,C
5009253,-1,C
5009253,-2,C
5009253,-3,C
5009253,-4,C
5009253,-5,C
5009255,0,0
5009255,-1,0
5009255,-2,0
5009255,-3,0
5009255,-4,0
5009255,-5,0
5009260,0,C
5009260,-1,C
5009260,-2,C
5009260,-3,C
5009260,-4,C
5009260,-5,C
5009262,0,C
5009262,-1,C
5009262,-2,C
5009262,-3,C
5009262,-4,C
5009262,-5,0
5009263,0,C
5009263,-1,C
5009263,-2,C
5009263,-3,C
5009263,-4,C
5009263,-5,0
5009266,0,C
5009266,-1,C
5009266,-2,C
5009266,-3,C
5009266,-4,C
5009266,-5,C
5009267,0,C
5009267,-1,C
5009267,-2,C
5009267,-3,C
5009267,-4,C
5009267,-5,C
5009268,0,C
5009268,-1,C
5009268,-2,C
5009268,-3,C
5009268,-4,C
5009268,-5,C
5009269,0,C
5009269,-1,C
5009269,-2,C
5009269,-3,C
5009269,-4,C
5009269,-5,C
5009270,0,0
5009270,-1,0
5009270,-2,0
5009270,-3,0
5009270,-4,0
5009270,-5,0
5009272,0,X
5009272,-1,0
5009272,-2,X
5009272,-3,0
5009272,-4,X
5009272,-5,X
5009275,0,X
5009275,-1,X
5009275,-2,X
5009275,-3,X
5009275,-4,X
5009275,-5,X
5009276,0,0
5009276,-1,0
5009276,-2,0
5009276,-3,0
5009276,-4,0
5009276,-5,0
5009278,0,C
5009278,-1,C
5009278,-2,C
5009278,-3,C
5009278,-4,0
5009278,-5,X
5009280,0,C
5009280,-1,C
5009280,-2,C
5009280,-3,C
5009280,-4,C
5009280,-5,C
5009281,0,X
5009281,-1,X
5009281,-2,0
5009281,-3,X
5009281,-4,0
5009281,-5,X
5009284,0,C
5009284,-1,C
5009284,-2,C
5009284,-3,C
5009284,-4,C
5009284,-5,C
5009287,0,0
5009287,-1,0
5009287,-2,0
5009287,-3,0
5009287,-4,0
5009287,-5,0
5009289,0,C
5009289,-1,C
5009289,-2,C
5009289,-3,C
5009289,-4,0
5009289,-5,0
5009290,0,C
5009290,-1,C
5009290,-2,C
5009290,-3,C
5009290,-4,0
5009290,-5,X
5009292,0,X
5009292,-1,0
5009292,-2,0
5009292,-3,X
5009292,-4,0
5009292,-5,0
5009293,0,C
5009293,-1,C
5009293,-2,C
5009293,-3,C
5009293,-4,C
5009293,-5,C
5009294,0,C
5009294,-1,C
5009294,-2,C
5009294,-3,C
5009294,-4,C
5009294,-5,C
5009295,0,C
5009295,-1,C
5009295,-2,C
5009295,-3,C
5009295,-4,C
5009295,-5,C
5009297,0,1
5009297,-1,0
5009297,-2,0
5009297,-3,0
5009297,-4,0
5009297,-5,0
5009299,0,X
5009299,-1,X
5009299,-2,0
5009299,-3,0
5009299,-4,0
5009299,-5,0
5009300,0,X
5009300,-1,0
5009300,-2,0
5009300,-3,X
5009300,-4,X
5009300,-5,0
5009301,0,C
5009301,-1,C
5009301,-2,C
5009301,-3,0
5009301,-4,0
5009301,-5,0
5009302,0,C
5009302,-1,C
5009302,-2,C
5009302,-3,C
5009302,-4,C
5009302,-5,C
5009304,0,C
5009304,-1,C
5009304,-2,C
5009304,-3,C
5009304,-4,C
5009304,-5,C
5009305,0,0
5009305,-1,0
5009305,-2,0
5009305,-3,0
5009305,-4,0
5009305,-5,0
5009307,0,C
5009307,-1,C
5009307,-2,C
5009307,-3,C
5009307,-4,C
5009307,-5,C
5009308,0,C
5009308,-1,C
5009308,-2,C
5009308,-3,C
5009308,-4,C
5009308,-5,C
5009309,0,C
5009309,-1,C
5009309,-2,C
5009309,-3,C
5009309,-4,C
5009309,-5,C
5009313,0,0
5009313,-1,0
5009313,-2,0
5009313,-3,0
5009313,-4,0
5009313,-5,X
5009314,0,0
5009314,-1,0
5009314,-2,0
5009314,-3,0
5009314,-4,0
5009314,-5,0
5009315,0,0
5009315,-1,0
5009315,-2,0
5009315,-3,0
5009315,-4,0
5009315,-5,0
5009316,0,C
5009316,-1,C
5009316,-2,C
5009316,-3,C
5009316,-4,C
5009316,-5,0
5009319,0,C
5009319,-1,C
5009319,-2,C
5009319,-3,C
5009319,-4,C
5009319,-5,C
5009325,0,X
5009325,-1,X
5009325,-2,X
5009325,-3,X
5009325,-4,X
5009325,-5,X
5009330,0,C
5009330,-1,C
5009330,-2,C
5009330,-3,C
5009330,-4,C
5009330,-5,C
5009335,0,0
5009335,-1,0
5009335,-2,X
5009335,-3,X
5009335,-4,X
5009335,-5,0
5009338,0,0
5009338,-1,0
5009338,-2,0
5009338,-3,0
5009338,-4,0
5009338,-5,0
5009343,0,C
5009343,-1,C
5009343,-2,C
5009343,-3,C
5009343,-4,C
5009343,-5,C
5009344,0,0
5009344,-1,0
5009344,-2,0
5009344,-3,0
5009344,-4,0
5009344,-5,0
5009345,0,C
5009345,-1,C
5009345,-2,C
5009345,-3,C
5009345,-4,C
5009345,-5,C
5009346,0,0
5009346,-1,0
5009346,-2,0
5009346,-3,0
5009346,-4,0
5009346,-5,0
5009349,0,X
5009349,-1,X
5009349,-2,X
5009349,-3,X
5009349,-4,X
5009349,-5,X
5009354,0,X
5009354,-1,X
5009354,-2,X
5009354,-3,1
5009354,-4,0
5009354,-5,X
5009355,0,0
5009355,-1,0
5009355,-2,0
5009355,-3,0
5009355,-4,0
5009355,-5,0
5009358,0,X
5009358,-1,X
5009358,-2,X
5009358,-3,X
5009358,-4,X
5009358,-5,X
5009359,0,C
5009359,-1,C
5009359,-2,C
5009359,-3,C
5009359,-4,C
5009359,-5,C
5009360,0,0
5009360,-1,1
5009360,-2,0
5009360,-3,0
5009360,-4,1
5009360,-5,0
5009362,0,0
5009362,-1,0
5009362,-2,0
5009362,-3,0
5009362,-4,0
5009362,-5,0
5009363,0,C
5009363,-1,C
5009363,-2,C
5009363,-3,C
5009363,-4,C
5009363,-5,C
5009365,0,C
5009365,-1,C
5009365,-2,C
5009365,-3,C
5009365,-4,C
5009365,-5,0
5009366,0,C
5009366,-1,C
5009366,-2,C
5009366,-3,C
5009366,-4,C
5009366,-5,C
5009367,0,C
5009367,-1,0
5009367,-2,0
5009367,-3,0
5009367,-4,0
5009367,-5,0
5009370,0,0
5009370,-1,0
5009370,-2,0
5009370,-3,0
5009370,-4,0
5009370,-5,0
5009373,0,C
5009373,-1,C
5009373,-2,C
5009373,-3,C
5009373,-4,C
5009373,-5,0
5009378,0,C
5009378,-1,C
5009378,-2,C
5009378,-3,C
5009378,-4,C
5009378,-5,C
5009381,0,C
5009381,-1,C
5009381,-2,C
5009381,-3,0
5009381,-4,0
5009381,-5,0
5009383,0,C
5009383,-1,C
5009383,-2,C
5009383,-3,C
5009383,-4,C
5009383,-5,C
5009384,0,C
5009384,-1,C
5009384,-2,C
5009384,-3,C
5009384,-4,C
5009384,-5,C
5009386,0,X
5009386,-1,X
5009386,-2,X
5009386,-3,X
5009386,-4,X
5009386,-5,X
5009387,0,0
5009387,-1,0
5009387,-2,0
5009387,-3,0
5009387,-4,0
5009387,-5,0
5009391,0,0
5009391,-1,0
5009391,-2,X
5009391,-3,0
5009391,-4,0
5009391,-5,0
5009393,0,C
5009393,-1,C
5009393,-2,C
5009393,-3,C
5009393,-4,C
5009393,-5,C
5009394,0,0
5009394,-1,0
5009394,-2,1
5009394,-3,0
5009394,-4,0
5009394,-5,0
5009395,0,0
5009395,-1,0
5009395,-2,0
5009395,-3,0
5009395,-4,0
5009395,-5,X
5009396,0,C
5009396,-1,C
5009396,-2,C
5009396,-3,C
5009396,-4,C
5009396,-5,C
5009397,0,C
5009397,-1,C
5009397,-2,C
5009397,-3,C
5009397,-4,C
5009397,-5,C
5009399,0,C
5009399,-1,C
5009399,-2,C
5009399,-3,C
5009399,-4,C
5009399,-5,C
5009400,0,C
5009400,-1,C
